video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified
7263502092382358827,2023-08-04T12:18:07,45.0,US,"costa rica, Costa Rica Vacation, costa rica travel, costa rica all inclusive resorts, Costa Rica Itinerary, Things To Do In Costa Rica, dominical costa rica, costa rica nightlife, puerto rico vacation, Adventure Travel",34300.0,9271.0,263.0,728600.0,land of adventures 🫶 #costaricatravel #costaricacool #dominicalcostarica #santateresacostarica #lafortunawaterfall #lafortunacostarica #nauyacawaterfalls ,False,,katbennettphoto,Kat | Adventure Travel,,,,,,False
7210513374390537477,2023-03-14T17:14:34,95.0,GB,"cancun customs 2023, Cancun Mexico, tulum, tulum mexico, tulum town, Mexico Travel, Mexico, travel tips, Mexico Trip Travel Tips, traveltok",14800.0,3036.0,281.0,313500.0,The Truth About Tulum 🇲🇽 . Why does no one speak about this? There is so much to know about Tulum! Here are some of things you HAVE to know before your trip ✈️ . Need help planning your next trip? L!N/ in my Stan store & I’ll  plan it for you ✅ . #thingstodoinmexico #mexicotiktok #thingstodointulummexico #thingstoknowbeforemexico #thingstoknow #traveltips #travellife #tulumguide #tulumvibe #tulumlocals #mexicotips #cancunairport #mexicotips,False,,lifeofjazz__,Jazz | Travel Content ✈️,,,,,,False
7120158210295745798,1969-12-31T19:00:00,,,,,,,,,False,,,,,,,,,False
7312532149842890026,2023-12-14T14:19:51,38,US,,672400,7337,2528,5200000,When you invute your white friends over for food @Chantelle Rose @Adro Shot It @laurenrosefarmer ,False,,thecreatives4eva,The Creatives,,,,,,False
7313537088564088066,2023-12-17T07:19:13,30,AU,"Chicken Recipe Ideas, chicken stew, how to cook chicken, Food Cooking Videos, chicken drumstick recipe, eatsbyteks, chicken recipes, food cooking, cooking  videos, Food Recipes",385500,30500,1337,13000000,"The simplest one step chicken stew. Soy sauce,honey and onions chicken. Ingredients: -chicken drumstick -2large onions -soy sauce -tomato paste -garlic paste -honey -paprika -salt. 1️⃣Sear the chicken drumstick until golden.  2️⃣Add in the rest of the ingredients and cover yo cook on low for 20 30 mins,do not add any liquid,will be released from covering the pot and simmering on low. -uncover and cook for further 5mins to thicken the sauce. #chickendrumsticks #chickenrecipes #christmas #christmasrecipes #holidayrecipes #foryou",False,,eatsbyteks,Eatsbyteks,,,,,,False
7306880757753072926,2023-11-29T08:49:50,17,US,,463700,6582,3811,3600000,When your white friends invite you in for food @Chantelle Rose @Adro Shot It @laurenrosefarmer ,False,,thecreatives4eva,The Creatives,,,,,,False
7304905523437243694,2023-11-24T01:04:38,10,US,,1100000,13600,4419,7100000,#piinkmango #blackfriday ,False,,piiinkmangooo,Pink Mango💖,,,,,,False
7297545941647740202,2023-11-05T07:45:00,70,US,"christmas games, thanksgiving games, christmas games idea, christmas party game, christmas games for family, christmas decor 2023, family games ideas, holiday party games, candy cane game, family games",979200,305300,3143,17800000,i loved watching every single second of it 🎁❤️ #funfamilygames #funnygames #familytime #holidaytiktok #holidaygames #christmasgames #christmasfun #funchristmasgames #christmaspartygames,False,,carmengrijalva21,carmengrijalva21,,,,,,False
7294787357121776901,2023-10-27T19:40:40,13,JM,"Doja Cat, doja, doja cat performance, Kittenz Doja, Doja Cat Concert, Doja Cat EdIts, Cat Funny Videos, doja cat schiaparelli, doja red outfit, 2019 Doja Cat",215300,21700,821,1700000,where my pretty girlz?#dojacat #doja ,False,,dojacatscarlet,dojacatscarlet,,,,,,False
7301774752144821509,2023-11-15T14:35:20,15,NG,,194500,1872,1526,1600000,Working and playing 🌚#fyp #wisdomsociety #xyzbca #relatable #viral ,False,,r0dn3y_,THE WISDOM MAN😎,,,,,,True
